                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0606,                0.98643,                 1.9181,                0.84828,                0.86468,                0.89793,                0.68385,                0.82784,                0.67881,                 1.6855,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.0608,                0.97651,                 1.9197,                0.86111,                0.85634,                0.89521,                0.68245,                0.82225,                0.67127,                 1.7191,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.0565,                0.97727,                 1.9285,                 0.8617,                0.86324,                0.89663,                0.68135,                0.82749,                0.67342,                 1.7118,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.0553,                0.97376,                 1.9231,                0.86771,                0.85539,                0.89596,                0.67861,                0.82683,                0.67769,                 1.7055,               0.000505,               0.000505,               0.000505
                     52,                 1.0485,                0.96381,                 1.9084,                0.87002,                0.85903,                0.90271,                0.68742,                0.82211,                0.66506,                  1.705,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.0402,                0.96534,                 1.9017,                0.87776,                0.85701,                0.90889,                0.69356,                0.82066,                0.65963,                 1.7041,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.0341,                0.95114,                 1.9021,                0.86833,                0.86314,                0.90766,                0.69628,                0.81011,                0.64963,                 1.7041,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.0334,                0.94912,                 1.9036,                0.88199,                0.85699,                0.90149,                0.68485,                0.82262,                0.66149,                 1.7032,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.0312,                0.94958,                 1.8929,                0.87336,                0.86634,                0.90247,                0.69206,                0.81099,                0.65979,                 1.6834,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.0348,                0.94447,                 1.8912,                0.87176,                0.85805,                0.90523,                0.69974,                0.80988,                0.65444,                 1.6895,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.0221,                0.92985,                 1.8744,                0.88429,                0.85795,                0.90402,                0.69429,                0.80548,                0.65411,                 1.6933,              0.0004357,              0.0004357,              0.0004357
                     59,                  1.016,                0.92538,                  1.873,                0.87919,                0.86262,                0.90749,                0.69317,                0.81071,                 0.6509,                 1.6786,              0.0004258,              0.0004258,              0.0004258
                     60,                  1.012,                0.92681,                  1.872,                0.86868,                0.87323,                0.90943,                0.69769,                0.79913,                0.64922,                 1.6797,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.0109,                0.91758,                 1.8714,                0.87216,                 0.8772,                0.91228,                0.69937,                0.80855,                0.64672,                 1.6954,               0.000406,               0.000406,               0.000406
                     62,                 1.0041,                0.90584,                 1.8576,                0.86234,                0.88048,                0.91063,                0.70382,                0.80423,                0.64245,                 1.6849,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.0018,                 0.9095,                 1.8651,                0.88055,                 0.8597,                0.90891,                0.70155,                0.79564,                0.64375,                 1.6858,              0.0003862,              0.0003862,              0.0003862
                     64,                0.99206,                0.89215,                 1.8506,                0.87614,                0.86558,                 0.9075,                0.70184,                0.79059,                0.63892,                 1.6798,              0.0003763,              0.0003763,              0.0003763
                     65,                0.98849,                0.88991,                 1.8389,                0.88211,                0.87331,                0.91309,                 0.7027,                0.79351,                0.63369,                 1.6888,              0.0003664,              0.0003664,              0.0003664
                     66,                0.98839,                0.88994,                 1.8529,                0.89197,                 0.8657,                0.91426,                0.70792,                0.78463,                0.62993,                 1.6811,              0.0003565,              0.0003565,              0.0003565
                     67,                0.98977,                0.89231,                 1.8572,                0.88289,                0.86426,                0.91045,                0.70747,                0.78745,                0.62758,                 1.6768,              0.0003466,              0.0003466,              0.0003466
                     68,                0.98346,                0.88733,                 1.8525,                 0.8761,                 0.8708,                 0.9106,                0.70875,                  0.783,                0.62947,                 1.6703,              0.0003367,              0.0003367,              0.0003367
                     69,                0.97953,                0.88768,                 1.8413,                0.88452,                0.87251,                0.91184,                0.70991,                0.78426,                0.62519,                  1.654,              0.0003268,              0.0003268,              0.0003268
                     70,                0.97685,                0.87683,                 1.8389,                0.88922,                0.87253,                0.91562,                0.71553,                0.77768,                0.62122,                 1.6573,              0.0003169,              0.0003169,              0.0003169
                     71,                0.98376,                0.88575,                 1.8479,                0.88887,                0.86298,                0.91461,                0.71106,                0.77484,                 0.6241,                 1.6531,               0.000307,               0.000307,               0.000307
                     72,                0.97211,                0.88142,                 1.8395,                0.88557,                0.86533,                 0.9152,                0.71341,                0.76932,                0.62093,                 1.6613,              0.0002971,              0.0002971,              0.0002971
                     73,                0.96872,                0.87358,                 1.8195,                0.88443,                0.86817,                0.91503,                 0.7137,                 0.7733,                0.61373,                 1.6554,              0.0002872,              0.0002872,              0.0002872
                     74,                0.97668,                0.87909,                 1.8316,                0.87741,                 0.8794,                0.91826,                0.72074,                0.76675,                0.61112,                 1.6556,              0.0002773,              0.0002773,              0.0002773
                     75,                0.95402,                0.85182,                 1.8135,                0.88778,                0.87283,                0.91874,                0.71721,                0.76709,                0.61326,                 1.6552,              0.0002674,              0.0002674,              0.0002674
                     76,                0.95273,                0.85771,                 1.8155,                0.88461,                0.88373,                0.92051,                0.72046,                0.76516,                0.60973,                 1.6628,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.9547,                0.84897,                 1.8138,                0.88688,                 0.8783,                0.92002,                0.71824,                0.76708,                0.61374,                   1.65,              0.0002476,              0.0002476,              0.0002476
                     78,                0.94768,                0.84229,                 1.8115,                0.88939,                0.87791,                0.92212,                0.72262,                0.76745,                0.61172,                 1.6384,              0.0002377,              0.0002377,              0.0002377
                     79,                0.95023,                0.85608,                 1.8056,                0.89037,                0.88109,                0.92288,                0.72236,                0.76716,                0.60632,                 1.6485,              0.0002278,              0.0002278,              0.0002278
                     80,                0.95325,                0.84138,                 1.8137,                0.90184,                0.86943,                0.92193,                0.72457,                0.76347,                0.60721,                 1.6407,              0.0002179,              0.0002179,              0.0002179
                     81,                0.95058,                0.84023,                 1.8053,                0.89303,                0.87558,                0.92144,                0.72363,                0.76024,                0.60536,                  1.635,               0.000208,               0.000208,               0.000208
                     82,                0.93753,                 0.8314,                 1.8012,                0.88795,                0.87292,                0.91984,                0.72422,                0.76002,                0.60372,                 1.6334,              0.0001981,              0.0001981,              0.0001981
                     83,                0.93332,                 0.8249,                 1.7947,                0.89043,                 0.8776,                0.92043,                0.72429,                0.75799,                0.60266,                 1.6348,              0.0001882,              0.0001882,              0.0001882
                     84,                0.92932,                0.82081,                 1.7756,                0.90067,                0.87367,                0.92243,                 0.7258,                0.76015,                0.60102,                 1.6309,              0.0001783,              0.0001783,              0.0001783
                     85,                0.92501,                0.81997,                 1.7855,                0.89872,                 0.8748,                0.92284,                0.72505,                0.76134,                0.59908,                 1.6257,              0.0001684,              0.0001684,              0.0001684
                     86,                0.92826,                0.82196,                 1.7875,                0.89795,                0.87445,                0.92229,                0.72508,                0.75913,                 0.5973,                 1.6287,              0.0001585,              0.0001585,              0.0001585
                     87,                0.91812,                0.81352,                 1.7712,                0.89827,                0.87589,                0.92216,                0.72802,                0.75603,                0.59781,                 1.6294,              0.0001486,              0.0001486,              0.0001486
                     88,                0.92165,                 0.8244,                  1.787,                0.90062,                0.87373,                0.92355,                0.72858,                0.75291,                0.59403,                 1.6297,              0.0001387,              0.0001387,              0.0001387
