                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.76965,                0.64212,                  1.447,                0.91874,                0.88746,                0.92485,                 0.7474,                 0.7539,                0.62402,                 1.6187,               0.002773,               0.002773,               0.002773
                     75,                0.77059,                0.63553,                 1.4511,                0.92261,                0.88795,                 0.9259,                0.74865,                0.75216,                0.62297,                 1.6213,               0.002674,               0.002674,               0.002674
                     76,                0.76264,                0.63369,                 1.4454,                0.91881,                0.88988,                0.92507,                0.74908,                0.75079,                0.62169,                 1.6231,               0.002575,               0.002575,               0.002575
                     77,                 0.7604,                0.63332,                  1.441,                0.92002,                 0.8882,                0.92498,                0.74926,                0.74927,                0.62191,                 1.6253,               0.002476,               0.002476,               0.002476
                     78,                0.75027,                0.61828,                 1.4312,                0.92045,                0.88978,                0.92597,                0.74838,                 0.7477,                0.62247,                 1.6262,               0.002377,               0.002377,               0.002377
                     79,                0.75079,                 0.6172,                 1.4365,                 0.9184,                0.89149,                0.92592,                0.74744,                0.74888,                0.62219,                 1.6296,               0.002278,               0.002278,               0.002278
                     80,                 0.7478,                0.61798,                 1.4274,                0.91775,                0.89283,                0.92581,                0.74812,                0.74769,                0.62504,                 1.6295,               0.002179,               0.002179,               0.002179
                     81,                0.73706,                0.60861,                 1.4179,                0.91844,                0.89253,                0.92529,                0.74864,                0.74744,                0.62562,                 1.6312,                0.00208,                0.00208,                0.00208
                     82,                0.73536,                0.60605,                  1.419,                0.91824,                0.89226,                0.92569,                0.74794,                0.74794,                0.62596,                  1.632,               0.001981,               0.001981,               0.001981
                     83,                0.73375,                0.60178,                 1.4171,                0.91697,                 0.8908,                0.92561,                0.74757,                 0.7467,                0.62598,                  1.632,               0.001882,               0.001882,               0.001882
                     84,                0.72733,                0.59624,                 1.4109,                0.91732,                 0.8904,                0.92592,                0.74772,                0.74549,                0.62578,                 1.6321,               0.001783,               0.001783,               0.001783
                     85,                0.71998,                0.58928,                 1.4026,                0.91748,                0.89128,                0.92631,                0.74745,                0.74514,                0.62511,                 1.6327,               0.001684,               0.001684,               0.001684
                     86,                 0.7193,                0.58987,                 1.4049,                0.91546,                0.89154,                0.92594,                0.74729,                0.74366,                0.62505,                 1.6325,               0.001585,               0.001585,               0.001585
                     87,                0.71342,                0.58731,                 1.4038,                0.91599,                0.89268,                0.92675,                0.74919,                0.74358,                0.62446,                 1.6352,               0.001486,               0.001486,               0.001486
                     88,                 0.7105,                0.58462,                 1.4001,                0.91317,                0.89618,                0.92666,                0.74943,                0.74335,                 0.6231,                 1.6377,               0.001387,               0.001387,               0.001387
                     89,                0.70502,                0.57771,                 1.3901,                0.91385,                0.89614,                0.92716,                0.74846,                 0.7433,                0.62292,                 1.6403,               0.001288,               0.001288,               0.001288
                     90,                0.70127,                0.57568,                 1.3954,                0.91369,                0.89588,                0.92682,                0.74946,                0.74348,                0.62199,                 1.6416,               0.001189,               0.001189,               0.001189
                     91,                0.58461,                0.44385,                 1.2595,                0.91259,                0.89677,                 0.9271,                0.74922,                0.74361,                0.62149,                 1.6431,                0.00109,                0.00109,                0.00109
                     92,                0.57063,                0.43008,                 1.2486,                0.91245,                0.89757,                0.92729,                0.75048,                0.74363,                0.62045,                 1.6449,               0.000991,               0.000991,               0.000991
                     93,                0.56551,                0.42629,                 1.2363,                0.91331,                0.89553,                0.92738,                0.75066,                0.74271,                0.62049,                 1.6464,               0.000892,               0.000892,               0.000892
                     94,                0.55625,                0.42036,                 1.2335,                0.91309,                 0.8967,                0.92793,                0.75053,                0.74315,                0.62043,                 1.6486,               0.000793,               0.000793,               0.000793
                     95,                0.55159,                0.41503,                 1.2308,                0.91171,                 0.8983,                0.92829,                0.75031,                 0.7438,                0.61974,                 1.6509,               0.000694,               0.000694,               0.000694
                     96,                0.54262,                0.41189,                 1.2176,                0.91132,                 0.8987,                0.92809,                0.74996,                0.74407,                0.61951,                 1.6524,               0.000595,               0.000595,               0.000595
                     97,                0.53835,                0.40687,                 1.2234,                0.91283,                0.89826,                0.92832,                0.75026,                0.74384,                0.61969,                 1.6531,               0.000496,               0.000496,               0.000496
                     98,                0.53056,                0.40081,                 1.2094,                0.91337,                0.89794,                0.92863,                0.75082,                0.74338,                0.61946,                 1.6551,               0.000397,               0.000397,               0.000397
                     99,                0.52615,                0.39606,                 1.2081,                0.91419,                0.89766,                0.92875,                0.75089,                 0.7438,                  0.619,                 1.6576,               0.000298,               0.000298,               0.000298
                    100,                0.52256,                0.39372,                 1.2004,                0.91414,                0.89764,                0.92871,                0.75155,                0.74376,                0.61906,                 1.6586,               0.000199,               0.000199,               0.000199
